InventoryId,SalesDate,SalesQuantity,SalesDollars,Store,Brand,Description,SalesPrice,VendorNo,VendorName,City,State,PurchasePrice,SAB,STaxRate,SalesTax
NJ-4291-89974,2017-02-28,50,9974.0,NJ-4291,89974,Special Edition: Little People City Skyway (Limited Stock),199.48,55185,FisherPrice,Trenton,NJ,69.99,NJ,0.06625,660.7775
NJ-4291-89974,2017-02-28,100,19948.0,NJ-4291,89974,Special Edition: Little People City Skyway (Limited Stock),199.48,55185,FisherPrice,Trenton,NJ,69.99,NJ,0.06625,1321.555
NJ-4291-89974,2017-04-30,100,19948.0,NJ-4291,89974,Special Edition: Little People City Skyway (Limited Stock),199.48,55185,FisherPrice,Trenton,NJ,69.99,NJ,0.06625,1321.555
NJ-4291-89974,2017-04-30,10,1994.8,NJ-4291,89974,Special Edition: Little People City Skyway (Limited Stock),199.48,55185,FisherPrice,Trenton,NJ,69.99,NJ,0.06625,132.15550000000002
NJ-4291-89974,2017-04-30,100,19948.0,NJ-4291,89974,Special Edition: Little People City Skyway (Limited Stock),199.48,55185,FisherPrice,Trenton,NJ,69.99,NJ,0.06625,1321.555
NJ-4291-89974,2017-05-31,50,9974.0,NJ-4291,89974,Special Edition: Little People City Skyway (Limited Stock),199.48,55185,FisherPrice,Trenton,NJ,69.99,NJ,0.06625,660.7775
NJ-4291-89974,2017-06-30,10,1994.8,NJ-4291,89974,Special Edition: Little People City Skyway (Limited Stock),199.48,55185,FisherPrice,Trenton,NJ,69.99,NJ,0.06625,132.15550000000002
NJ-4291-89974,2017-08-31,100,19948.0,NJ-4291,89974,Special Edition: Little People City Skyway (Limited Stock),199.48,55185,FisherPrice,Trenton,NJ,69.99,NJ,0.06625,1321.555
NJ-4291-89974,2017-09-30,10,1994.8,NJ-4291,89974,Special Edition: Little People City Skyway (Limited Stock),199.48,55185,FisherPrice,Trenton,NJ,69.99,NJ,0.06625,132.15550000000002
NJ-4291-89974,2017-09-30,100,19948.0,NJ-4291,89974,Special Edition: Little People City Skyway (Limited Stock),199.48,55185,FisherPrice,Trenton,NJ,69.99,NJ,0.06625,1321.555
NJ-4291-89974,2017-09-30,10,1994.8,NJ-4291,89974,Special Edition: Little People City Skyway (Limited Stock),199.48,55185,FisherPrice,Trenton,NJ,69.99,NJ,0.06625,132.15550000000002
NJ-4291-89974,2017-10-31,10,1994.8,NJ-4291,89974,Special Edition: Little People City Skyway (Limited Stock),199.48,55185,FisherPrice,Trenton,NJ,69.99,NJ,0.06625,132.15550000000002
NJ-4291-89974,2017-10-31,100,19948.0,NJ-4291,89974,Special Edition: Little People City Skyway (Limited Stock),199.48,55185,FisherPrice,Trenton,NJ,69.99,NJ,0.06625,1321.555
NJ-4291-89974,2017-11-30,50,9974.0,NJ-4291,89974,Special Edition: Little People City Skyway (Limited Stock),199.48,55185,FisherPrice,Trenton,NJ,69.99,NJ,0.06625,660.7775
NJ-4291-89974,2017-12-31,50,9974.0,NJ-4291,89974,Special Edition: Little People City Skyway (Limited Stock),199.48,55185,FisherPrice,Trenton,NJ,69.99,NJ,0.06625,660.7775
NJ-4291-89974,2017-12-31,50,9974.0,NJ-4291,89974,Special Edition: Little People City Skyway (Limited Stock),199.48,55185,FisherPrice,Trenton,NJ,69.99,NJ,0.06625,660.7775
NJ-4291-89974,2017-12-31,50,9974.0,NJ-4291,89974,Special Edition: Little People City Skyway (Limited Stock),199.48,55185,FisherPrice,Trenton,NJ,69.99,NJ,0.06625,660.7775
NJ-4291-89975,2017-03-31,50,499.5,NJ-4291,89975,Special Edition: Imaginext Power Rangers Blue Ranger & Black Ranger (Limited Stock),9.99,55185,FisherPrice,Trenton,NJ,2.99,NJ,0.06625,33.091875
NJ-4291-89975,2017-04-30,100,999.0,NJ-4291,89975,Special Edition: Imaginext Power Rangers Blue Ranger & Black Ranger (Limited Stock),9.99,55185,FisherPrice,Trenton,NJ,2.99,NJ,0.06625,66.18375
NJ-4291-89975,2017-06-30,50,499.5,NJ-4291,89975,Special Edition: Imaginext Power Rangers Blue Ranger & Black Ranger (Limited Stock),9.99,55185,FisherPrice,Trenton,NJ,2.99,NJ,0.06625,33.091875
NJ-4291-89975,2017-06-30,50,499.5,NJ-4291,89975,Special Edition: Imaginext Power Rangers Blue Ranger & Black Ranger (Limited Stock),9.99,55185,FisherPrice,Trenton,NJ,2.99,NJ,0.06625,33.091875
NJ-4291-89975,2017-08-31,100,999.0,NJ-4291,89975,Special Edition: Imaginext Power Rangers Blue Ranger & Black Ranger (Limited Stock),9.99,55185,FisherPrice,Trenton,NJ,2.99,NJ,0.06625,66.18375
NJ-4291-89975,2017-08-31,100,999.0,NJ-4291,89975,Special Edition: Imaginext Power Rangers Blue Ranger & Black Ranger (Limited Stock),9.99,55185,FisherPrice,Trenton,NJ,2.99,NJ,0.06625,66.18375
NJ-4291-89975,2017-09-30,100,999.0,NJ-4291,89975,Special Edition: Imaginext Power Rangers Blue Ranger & Black Ranger (Limited Stock),9.99,55185,FisherPrice,Trenton,NJ,2.99,NJ,0.06625,66.18375
NJ-4291-89975,2017-09-30,10,99.9,NJ-4291,89975,Special Edition: Imaginext Power Rangers Blue Ranger & Black Ranger (Limited Stock),9.99,55185,FisherPrice,Trenton,NJ,2.99,NJ,0.06625,6.618375
NJ-4291-89975,2017-10-31,100,999.0,NJ-4291,89975,Special Edition: Imaginext Power Rangers Blue Ranger & Black Ranger (Limited Stock),9.99,55185,FisherPrice,Trenton,NJ,2.99,NJ,0.06625,66.18375
NJ-4291-89975,2017-10-31,100,999.0,NJ-4291,89975,Special Edition: Imaginext Power Rangers Blue Ranger & Black Ranger (Limited Stock),9.99,55185,FisherPrice,Trenton,NJ,2.99,NJ,0.06625,66.18375
